enrollmentId,studentCode,courseCode,enrollmentDate,enrollmentStatus,finalGrade,letterGrade,gradePoints,createdAt
62,A13,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
63,A14,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
64,A15,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
65,A16,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
66,A17,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
67,A18,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
68,A19,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
69,A20,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
70,A21,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
71,A22,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
72,A23,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
73,A24,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
74,A25,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
75,A26,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
76,A27,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
77,A28,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
78,A29,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
79,A30,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
80,A31,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
81,A32,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
82,A33,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
83,A34,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
84,A35,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
85,A36,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
86,A37,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
87,A38,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
88,A40,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
89,A41,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
90,A42,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
91,A43,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
92,A44,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
93,A39,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
94,A46,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
95,A47,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
96,A48,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
97,A49,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
98,A50,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
99,A45,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
